"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 04/07/2024 17:07:38",

"Nombre del Indicador Clave: Tasa de desocupación - 15 años y más",
"Definición: Porcentaje que representa la población desocupada respecto a la población económicamente activa (PEA calculada con la población de 15 años y más).",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: Segundo trimestre de 1995 a 1999 y cifras  trimestrales a partir del segundo trimestre de 2000 al último disponible.",
"Unidad de medida: Porcentaje",
"Periodicidad: Trimestral",
"Próxima fecha de actualización: 3 de Septiembre de 2024",


"Entidad federativa","Indicador","2015/01","2015/02","2015/03","2015/04","2016/01","2016/02","2016/03","2016/04","2017/01","2017/02","2017/03","2017/04","2018/01","2018/02","2018/03","2018/04","2019/01","2019/02","2019/03","2019/04","2020/01","2020/02","2020/03","2020/04","2021/01","2021/02","2021/03","2021/04","2022/01","2022/02","2022/03","2022/04","2023/01","2023/02","2023/03","2023/04","2024/01",
"Jalisco","Mujer","3.87568","5.05622","5.34496","5.15065","4.14876","3.79873","3.24502","2.91605","2.74748","2.75341","2.72203","2.94878","2.39915","2.50380","2.75156","2.23800","2.74147","2.76724","2.54524","2.94224","3.32400","ND","4.25371","3.61775","3.67639","3.43416","3.81107","3.00515","2.04039","2.36773","2.75371","1.99424","1.93320","2.43333","2.35122","1.61947","1.22866"
"México","Total","5.08410","5.54026","5.66821","5.44920","4.82909","5.28227","5.62608","4.78274","4.08626","3.57744","4.32719","3.98033","4.23581","4.06686","3.67741","3.82468","4.19468","4.50421","4.73925","4.55548","5.22709","ND","6.56510","6.39335","6.50941","6.21840","5.82300","4.65943","5.32569","4.21645","4.83120","4.46142","3.37042","3.64444","4.02761","3.52911","3.64745"
"México","Hombre","5.36278","4.97433","5.52389","5.33633","4.94345","5.42411","5.51048","4.80960","3.59373","3.55041","3.89918","3.96832","4.15548","4.12738","3.03786","3.11775","3.97853","4.56975","5.12123","4.25259","4.89715","ND","6.84614","6.60993","6.30587","6.61627","5.46054","4.67534","5.27557","4.29427","5.01932","4.69668","3.45283","3.83602","3.89466","3.66523","3.56741"
"México","Mujer","4.60453","6.49367","5.90413","5.62468","4.64235","5.05740","5.80936","4.73952","4.91053","3.62192","5.01309","3.99962","4.36827","3.97170","4.68860","4.93773","4.53865","4.40055","4.12372","5.01950","5.73507","ND","6.07633","6.04854","6.85713","5.60657","6.39469","4.63493","5.40189","4.10236","4.55824","4.13290","3.25176","3.37051","4.21714","3.33165","3.76431"
"Michoacán de Ocampo","Total","2.94516","2.83199","3.76223","3.14590","2.70288","2.77263","3.12891","2.43505","2.91864","2.74172","2.59300","2.17541","1.96549","1.98021","2.42273","2.49238","2.32427","2.92664","2.92755","2.70983","2.34420","ND","2.55683","2.29159","2.54275","1.98448","2.19764","2.54180","1.62119","1.72564","1.85106","1.66851","1.66123","1.99521","1.96522","2.09188","1.71727"
"Michoacán de Ocampo","Hombre","2.76740","2.54933","4.01515","3.22223","2.86334","2.87990","3.00880","2.45168","2.70468","2.53080","2.41737","2.07413","1.99920","1.82703","1.85989","2.47167","2.47271","3.02286","2.60446","2.86407","1.86770","ND","2.67316","2.67384","2.66667","1.62545","2.27195","2.08963","1.52950","1.46900","1.85841","1.38970","1.54001","2.07020","1.67134","1.88269","1.66741"
"Michoacán de Ocampo","Mujer","3.24268","3.31979","3.33188","3.01773","2.43809","2.59146","3.33526","2.40731","3.28078","3.10555","2.89837","2.34656","1.90878","2.23971","3.40211","2.52572","2.07836","2.76523","3.45864","2.46080","3.08835","ND","2.34952","1.62852","2.32305","2.56009","2.07751","3.26534","1.76568","2.11320","1.83957","2.09955","1.84800","1.87975","2.41308","2.39888","1.78934"
"Morelos","Total","2.76087","3.16865","3.98021","3.11589","2.75608","2.70287","2.79256","2.28941","1.72331","1.61058","2.56623","2.36783","1.85093","2.13771","2.40826","2.08163","1.78594","2.34311","2.68176","2.42082","1.94706","ND","2.72547","2.42373","2.00878","2.55837","2.45704","2.38563","1.85844","2.12956","2.39593","2.72604","1.45759","1.81079","2.33036","1.84693","1.57023"
"Morelos","Hombre","3.22707","3.86025","4.72154","3.77022","3.29750","3.16629","3.01180","2.58015","1.71011","1.65015","2.88554","2.78213","1.95174","2.39133","2.75096","2.54534","1.76217","2.52977","2.92657","3.30412","2.09973","ND","2.84757","2.62138","2.35935","2.69907","2.58118","2.69615","1.86940","2.39025","2.56707","3.18827","1.75385","2.04545","2.62394","2.12287","1.61916"
"Morelos","Mujer","2.07406","2.17723","2.86831","2.12229","1.93561","2.00015","2.46374","1.84383","1.74401","1.54841","2.03094","1.69882","1.68646","1.72663","1.83418","1.29766","1.82389","2.05620","2.30619","1.08124","1.72426","ND","2.54530","2.13929","1.48932","2.34005","2.26629","1.92767","1.84227","1.75419","2.15306","2.09483","1.06883","1.49220","1.92142","1.47597","1.50459"
