FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
21-mar-13,DGO.,"DGO., DGO.",39,20,59,33,0,0,
08-abr-13,D.F.,"AZCAPOTZALCO, D.F.",43,16,59,0,1,260,
23-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",56,3,59,0,7,327,
30-abr-14,DGO.,"DGO., DGO.",49,10,59,27,8,0,
10-sep-14,D.F.,"IZTACALCO, D.F.",35,24,59,0,4,0,
22-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",49,10,59,0,2,0,
25-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",52,7,59,0,0,0,
13-mar-23,México,"COACALCO DE BERRIOZABAL, MEX.",59,0,59,0,0,0,
14-mar-13,DGO.,"DGO., DGO.",46,12,58,10,0,0,
23-abr-13,D.F.,"COYOACAN, D.F.",49,9,58,0,2,230,
16-jul-13,D.F.,"GUSTAVO A. MADERO, D.F.",45,13,58,0,1,400,
22-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",47,11,58,0,7,180,
03-dic-14,GTO.,"LEON, GTO.",37,21,58,0,7,0,
30-sep-15,D.F.,"AZCAPOTZALCO, D.F.",51,7,58,0,0,37,
07-dic-15,S.L.P.,"SAN LUIS POTOSI, S.L.P.",47,11,58,2,2,460,
27-may-16,D.F.,"XOCHIMILCO, D.F.",18,40,58,712,24,544,
09-nov-22,MÉX.,"ZUMPANGO, MEX.",56,2,58,0,0,194,
15-feb-13,MEX.,"ECATEPEC DE MOR., MEX.",47,10,57,0,6,773,
28-sep-15,D.F.,"AZCAPOTZALCO, D.F.",45,12,57,0,0,120,
29-sep-15,D.F.,"AZCAPOTZALCO, D.F.",47,10,57,0,4,48,
09-oct-15,D.F.,"AZCAPOTZALCO, D.F.",47,10,57,0,0,110,
22-ene-16,D.F.,"COYOACAN, D.F.",47,10,57,0,3,256,
11-mar-23,México,"ATIZAPAN, MEX.",57,0,57,0,0,0,
20-feb-13,D.F.,"VENUSTIANO CARRANZA, D.F.",44,12,56,0,0,800,
05-mar-13,D.F.,"IZTACALCO, D.F.",45,11,56,0,5,620,
10-mar-13,N.L.,"MONTERREY, N.L.",35,21,56,34,1,14162,
25-mar-13,DGO.,"DGO., DGO.",48,8,56,43,7,0,
27-mar-13,DGO.,"DGO., DGO.",34,22,56,18,6,0,
25-abr-13,D.F.,"COYOACAN, D.F.",31,25,56,0,1,200,
02-may-13,D.F.,"BENITO JUAREZ, D.F.",33,23,56,0,6,100,
26-nov-14,GTO.,"CELAYA, GTO.",45,11,56,0,7,0,
02-oct-15,D.F.,"AZCAPOTZALCO, D.F.",49,7,56,0,0,0,
02-oct-15,D.F.,"AZCAPOTZALCO, D.F.",49,7,56,0,0,0,
02-ene-13,D.F.,"IZTAPALAPA, D.F.",43,12,55,0,6,300,
15-mar-13,DGO.,"DGO., DGO.",39,16,55,57,5,0,
10-abr-14,DGO.,"DGO., DGO.",45,10,55,27,2,0,
26-ago-14,N.L.,"GUADALUPE, N.L.",33,22,55,0,0,25632,
01-oct-14,D.F.,"XOCHIMILCO, D.F.",40,15,55,0,2,0,
23-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",48,7,55,0,0,0,
24-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",51,4,55,0,0,0,
07-oct-15,D.F.,"AZCAPOTZALCO, D.F.",50,5,55,0,2,25,
28-jun-23,México,"HUEHUETOCA, MEX.",55,0,55,0,0,0,
15-feb-13,MEX.,"NAUCALPAN DE JUAREZ, MEX.",51,3,54,0,1,180,
12-mar-13,DGO.,"DGO., DGO.",39,15,54,17,1,0,
20-may-13,GRO.,"ACAPULCO DE JUAREZ, GRO.",25,29,54,9,8,72,
24-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",49,5,54,0,4,193,
28-ago-15,SIN.,"AHOME, SIN.",44,10,54,0,7,0,
29-ago-16,D.F.,"GUSTAVO A. MADERO, D.F.",26,28,54,0,8,562,
12-nov-22,MÉX.,"ZUMPANGO, MEX.",54,0,54,0,0,0,
22-sep-23,Michoacán,"LA PIEDAD, MICH.",4,50,54,17,0,52,
24-ene-13,D.F.,"IZTAPALAPA, D.F.",38,15,53,0,3,70,
21-feb-13,D.F.,"VENUSTIANO CARRANZA, D.F.",44,9,53,0,0,200,
14-abr-14,DGO.,"DGO., DGO.",31,22,53,0,6,0,
16-abr-14,DGO.,"DGO., DGO.",38,15,53,22,0,0,
27-jun-14,D.F.,"VENUSTIANO CARRANZA, D.F.",49,4,53,0,8,180,
03-sep-14,D.F.,"MIGUEL HGO., D.F.",39,14,53,0,0,50,
03-dic-14,D.F.,"ALVARO OBREGON, D.F.",36,17,53,0,0,50,
11-dic-14,D.F.,"CUAUHTEMOC, D.F.",43,10,53,0,0,350,
05-oct-15,D.F.,"AZCAPOTZALCO, D.F.",45,8,53,0,5,12,
31-ene-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",44,9,53,0,5,38876,
01-feb-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",41,12,53,0,1,37601,
16-jun-21,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",44,9,53,0,27,4471,
05-ene-13,D.F.,"IZTAPALAPA, D.F.",30,22,52,0,7,160,
19-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",43,9,52,0,6,500,
26-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",42,10,52,0,12,0,
28-abr-14,D.F.,"XOCHIMILCO, D.F.",30,22,52,2,0,200,
06-oct-15,D.F.,"AZCAPOTZALCO, D.F.",48,4,52,0,0,55,
11-abr-16,COAH.,"SALTILLO, COAH.",27,25,52,19,0,0,
20-may-16,D.F.,"MILPA ALTA, D.F.",13,39,52,410,36,342,
30-ene-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",44,8,52,0,0,35270,
26-feb-21,CHIS.,"CHENALHÓ, CHIS.",14,38,52,0,0,0,
20-may-22,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",42,10,52,0,12,3270,
18-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",46,5,51,0,2,341,
26-mar-13,DGO.,"DGO., DGO.",34,17,51,42,1,0,
24-abr-13,D.F.,"COYOACAN, D.F.",41,10,51,0,0,550,
12-sep-14,D.F.,"IZTACALCO, D.F.",45,6,51,0,3,10,
23-mar-15,D.F.,"LA MAGDALENA CONTRERAS, D.F.",24,27,51,0,0,100,
04-ago-16,D.F.,"TLALPAN, D.F.",22,29,51,0,0,20,
06-sep-16,CHIS.,"CHAMULA, CHIS.",2,49,51,0,0,0,
02-abr-22,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",32,19,51,0,3,3205,
11-mar-23,México,"ECATEPEC DE MORELOS, MEX.",51,0,51,0,0,0,
13-mar-23,México,"ECATEPEC DE MORELOS, MEX.",51,0,51,0,0,5,
14-mar-23,México,"COACALCO DE BERRIOZABAL, MEX.",51,0,51,0,0,0,
02-ago-23,México,"CHICOLOAPAN, MEX.",51,0,51,0,0,0,
13-feb-13,MEX.,"TOLUCA, MEX.",40,10,50,19,0,475,
10-jul-14,D.F.,"ALVARO OBREGON, D.F.",35,15,50,0,1,0,
15-dic-14,D.F.,"CUAUHTEMOC, D.F.",34,16,50,0,0,600,
18-dic-14,D.F.,"CUAUHTEMOC, D.F.",34,16,50,0,0,250,
25-dic-14,SON.,"HERMOSILLO, SON.",34,16,50,377,3,2777,
25-mar-15,D.F.,"LA MAGDALENA CONTRERAS, D.F.",36,14,50,0,1,70,
21-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",44,6,50,0,4,0,
06-sep-16,CHIS.,"SAN CRISTOBAL DE LAS CASAS, CHIS.",3,47,50,0,0,0,
29-oct-22,MÉX.,"NEXTLALPAN, MEX., MEX.",50,0,50,0,0,0,
13-mar-23,México,"ATIZAPAN, MEX.",50,0,50,1,0,48,
02-mar-13,MEX.,"COACALCO DE BERRIOZABAL, MEX.",35,14,49,12,1,396,
16-may-13,D.F.,"ALVARO OBREGON, D.F.",24,25,49,0,0,800,
29-abr-14,D.F.,"XOCHIMILCO, D.F.",42,7,49,0,0,150,
02-may-14,D.F.,"XOCHIMILCO, D.F.",39,10,49,0,3,1800,
17-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",37,12,49,0,9,0,
21-sep-14,GRO.,"ACAPULCO DE JUAREZ, GRO.",38,11,49,6,16,431,
29-oct-14,D.F.,"BENITO JUAREZ, D.F.",31,18,49,0,2,90,
26-feb-15,D.F.,"IZTAPALAPA, D.F.",35,14,49,0,0,0,
03-mar-15,D.F.,"IZTAPALAPA, D.F.",34,15,49,0,0,350,
10-mar-15,D.F.,"IZTACALCO, D.F.",28,21,49,0,0,0,
20-mar-15,D.F.,"IZTACALCO, D.F.",38,11,49,0,0,100,
08-oct-15,D.F.,"AZCAPOTZALCO, D.F.",45,4,49,0,1,8,
12-nov-15,COAH.,"TORREÓN, COAH.",7,42,49,10,0,210,
08-sep-16,CHIS.,"SAN CRISTOBAL DE LAS CASAS, CHIS.",10,39,49,2,0,50,
08-nov-22,MÉX.,"ZUMPANGO, MEX.",48,1,49,0,1,29,
15-feb-13,MEX.,"TOLUCA, MEX.",37,11,48,10,1,453,
17-feb-13,MEX.,"ECATEPEC DE MOR., MEX.",39,9,48,40,6,0,
28-feb-13,COAH.,"SAN PEDRO, COAH.",34,14,48,0,0,0,
01-mar-13,D.F.,"IZTACALCO, D.F.",37,11,48,0,2,850,
20-mar-13,D.F.,"XOCHIMILCO, D.F.",35,13,48,0,2,420,
20-mar-13,DGO.,"DGO., DGO.",29,19,48,11,4,0,
22-jul-13,D.F.,"GUSTAVO A. MADERO, D.F.",30,18,48,0,2,480,
25-abr-14,DGO.,"DGO., DGO.",40,8,48,15,2,0,
25-sep-14,D.F.,"MILPA ALTA, D.F.",42,6,48,1,1,3,
24-feb-15,D.F.,"IZTAPALAPA, D.F.",31,17,48,0,0,30,
18-mar-15,D.F.,"IZTACALCO, D.F.",30,18,48,0,0,30,
19-mar-15,D.F.,"IZTACALCO, D.F.",32,16,48,0,0,100,
30-sep-15,B.C.,"MEXICALI, B.C.",23,25,48,0,0,0,
07-mar-23,México,"ECATEPEC DE MORELOS, MEX.",48,0,48,0,0,269,
12-jun-23,México,"NEXTLALPAN, MEX., MEX.",48,0,48,0,0,0,
24-jun-23,México,"ZUMPANGO, MEX.",48,0,48,0,0,172,
12-feb-13,MEX.,"ECATEPEC DE MOR., MEX.",36,11,47,0,0,361,
09-mar-13,VER.,"XALAPA, VER.",37,10,47,4,4,1168,
30-abr-13,D.F.,"BENITO JUAREZ, D.F.",35,12,47,0,0,200,
19-jul-13,D.F.,"GUSTAVO A. MADERO, D.F.",39,8,47,0,10,724,
18-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",40,7,47,0,16,0,
23-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",43,4,47,0,14,50,
28-ago-14,D.F.,"IZTAPALAPA, D.F.",27,20,47,0,3,25,
10-nov-14,D.F.,"CUAUHTEMOC, D.F.",39,8,47,0,5,400,
19-nov-14,D.F.,"LA MAGDALENA CONTRERAS, D.F.",32,15,47,0,0,200,
02-dic-14,D.F.,"ALVARO OBREGON, D.F.",43,4,47,0,0,100,
04-dic-14,D.F.,"ALVARO OBREGON, D.F.",41,6,47,0,2,50,
04-mar-15,D.F.,"IZTAPALAPA, D.F.",36,11,47,0,2,250,
20-ago-15,SIN.,"AHOME, SIN.",27,20,47,0,0,0,
26-ene-16,D.F.,"COYOACAN, D.F.",30,17,47,0,2,110,
02-ago-18,D.F.,"GUSTAVO A. MADERO, D.F.",34,13,47,0,1,1008,
16-feb-13,MEX.,"TOLUCA, MEX.",39,7,46,8,3,553,
13-sep-13,D.F.,"IZTACALCO, D.F.",35,11,46,5,1,20,
22-nov-13,D.F.,"CUAUHTEMOC, D.F.",32,14,46,8,1,888,
02-may-14,SIN.,"AHOME, SIN.",24,22,46,0,9,0,
09-dic-14,D.F.,"CUAUHTEMOC, D.F.",39,7,46,0,2,150,
27-feb-15,D.F.,"IZTAPALAPA, D.F.",31,15,46,0,0,0,
12-ago-15,SIN.,"AHOME, SIN.",28,18,46,0,2,0,
11-sep-15,D.F.,"TLALPAN, D.F.",41,5,46,0,6,30,
01-oct-15,D.F.,"AZCAPOTZALCO, D.F.",43,3,46,0,1,0,
29-jul-16,D.F.,"GUSTAVO A. MADERO, D.F.",28,18,46,0,2,1380,
12-ago-16,D.F.,"TLALPAN, D.F.",16,30,46,0,7,8,
27-feb-13,MEX.,"CHALCO, MEX.",34,11,45,0,0,268,
06-mar-13,DGO.,"DGO., DGO.",30,15,45,5,1,0,
07-mar-13,MEX.,"CHIMALHUACAN, MEX.",41,4,45,0,2,50,
21-jul-13,N.L.,"MONTERREY, N.L.",32,13,45,61,0,6008,
25-feb-14,CHIH.,"CHIH., CHIH.",29,16,45,5,0,0,
20-feb-15,D.F.,"IZTAPALAPA, D.F.",30,15,45,0,0,100,
25-feb-15,D.F.,"IZTAPALAPA, D.F.",27,18,45,0,0,40,
30-jun-16,SIN.,"AHOME, SIN.",37,8,45,0,14,0,
21-mar-13,D.F.,"XOCHIMILCO, D.F.",35,9,44,0,0,498,
22-mar-13,D.F.,"XOCHIMILCO, D.F.",35,9,44,0,1,587,
19-abr-13,D.F.,"LA MAGDALENA CONTRERAS, D.F.",29,15,44,0,2,700,
26-abr-13,D.F.,"COYOACAN, D.F.",31,13,44,0,0,180,
23-may-13,D.F.,"TLALPAN, D.F.",32,12,44,0,1,385,
24-jul-13,N.L.,"MONTERREY, N.L.",27,17,44,13,0,4072,
18-oct-13,D.F.,"COYOACAN, D.F.",31,13,44,4,2,796,
06-dic-13,D.F.,"CUAUHTEMOC, D.F.",40,4,44,2,0,7,
21-abr-14,DGO.,"DGO., DGO.",32,12,44,19,2,0,
23-abr-14,SIN.,"AHOME, SIN.",31,13,44,0,4,0,
11-sep-14,D.F.,"IZTACALCO, D.F.",41,3,44,0,14,30,
06-mar-15,D.F.,"IZTAPALAPA, D.F.",29,15,44,0,1,150,
12-mar-15,D.F.,"IZTACALCO, D.F.",28,16,44,0,1,0,
21-ago-15,SIN.,"AHOME, SIN.",30,14,44,0,5,0,
02-dic-15,D.F.,"CUAUHTEMOC, D.F.",25,19,44,0,5,108,
15-ene-16,D.F.,"CUAUHTEMOC, D.F.",29,15,44,0,4,24,
21-ene-16,D.F.,"COYOACAN, D.F.",36,8,44,0,4,110,
05-abr-16,D.F.,"IZTAPALAPA, D.F.",22,22,44,13,1,371,
01-sep-16,CHIS.,"CHAMULA, CHIS.",7,37,44,0,0,0,
